0,287
1,945
2,759
3,732
4,162
5,867
6,169
7,349
8,336
9,141
10,754
11,469
12,380
13,552
14,585
15,388
16,796
17,551
18,811
19,728
20,891
21,745
22,723
23,217
24,461
25,934
26,502
27,854
28,139
29,868
30,381
31,710
32,154
33,975
34,603
35,749
36,848
37,625
38,894
39,352
40,714
41,280
42,595
43,578
44,635
45,847
46,828
47,264
48,430
49,749
50,377
51,229
52,378
53,889
54,555
55,512
56,130
57,936
58,643
59,860
60,877
61,154
62,907
63,316
64,236
65,290
66,608
67,946
68,390
69,866
70,384
71,114
72,541
73,582
74,396
75,294
76,509
77,595
78,354
79,553
80,694
81,528
82,155
83,269
84,709
85,742
86,498
87,486
88,148
89,615
90,647
91,830
92,314
93,176
94,390
95,832
96,204
97,870
98,158
99,632
