1999900,384
1999901,363
1999902,381
1999903,976
1999904,574
1999905,721
1999906,805
1999907,821
1999908,979
1999909,778
1999910,807
1999911,330
1999912,137
1999913,183
1999914,763
1999915,395
1999916,964
1999917,107
1999918,458
1999919,821
1999920,863
1999921,880
1999922,165
1999923,519
1999924,425
1999925,665
1999926,699
1999927,407
1999928,723
1999929,166
1999930,191
1999931,585
1999932,578
1999933,269
1999934,303
1999935,762
1999936,769
1999937,715
1999938,225
1999939,466
1999940,108
1999941,247
1999942,332
1999943,577
1999944,378
1999945,604
1999946,736
1999947,861
1999948,727
1999949,634
1999950,837
1999951,507
1999952,371
1999953,557
1999954,657
1999955,267
1999956,354
1999957,958
1999958,504
1999959,560
1999960,580
1999961,672
1999962,411
1999963,717
1999964,563
1999965,193
1999966,981
1999967,977
1999968,493
1999969,177
1999970,181
1999971,821
1999972,827
1999973,105
1999974,635
1999975,366
1999976,810
1999977,1000
1999978,418
1999979,503
1999980,195
1999981,390
1999982,541
1999983,702
1999984,723
1999985,457
1999986,565
1999987,392
1999988,589
1999989,823
1999990,967
1999991,910
1999992,662
1999993,111
1999994,863
1999995,384
1999996,771
1999997,983
1999998,871
1999999,887
